0,1,4.95,97
0,46,2.2,277
1,2,9.9,97
1,0,4.95,277
2,3,9.9,97
2,1,9.9,277
3,4,9.9,97
3,2,9.9,277
4,5,8.25,97
4,35,2,198
4,3,9.9,277
5,6,3.3,97
5,4,8.25,277
6,49,4.4,198
6,5,3.3,277
7,8,6.6,198
7,49,2.2,18
8,9,6.6,198
8,7,6.6,18
8,38,3.3,198
9,10,4.4,198
9,8,6.6,18
9,38,3.3,18
10,11,6.6,288
10,9,4.4,18
10,60,4.2,-1
11,10,6.6,108
11,39,4.95,288
12,13,9.9,288
12,39,4.95,108
13,14,8.25,288
13,12,9.9,108
14,47,5.78,288
14,13,8.25,108
15,16,3.3,288
15,47,5.78,108
16,17,3.3,288
16,15,3.3,108
17,18,3.3,288
17,16,3.3,108
17,42,1.65,18
18,19,3.3,288
18,17,3.3,108
19,20,3.3,288
19,18,3.3,108
20,21,3.3,288
20,19,3.3,108
21,22,3.3,288
21,20,3.3,108
22,23,3.3,288
22,21,3.3,108
23,24,3.3,288
23,22,3.3,108
24,43,4,330
24,23,3.3,108
25,26,3.3,97
25,44,4,277
26,27,3.3,97
26,25,3.3,277
27,28,3.3,97
27,26,3.3,277
28,29,3.3,97
28,27,3.3,277
29,30,3.3,97
29,28,3.3,277
30,31,3.3,97
30,29,3.3,277
31,32,3.3,97
31,30,3.3,277
32,40,1.65,97
32,31,3.3,277
33,34,3.3,97
33,40,1.65,277
34,46,4.4,97
34,33,3.3,277
35,36,13.2,198
35,4,2,18
36,37,4.95,108
36,39,4.95,198
36,35,13.2,18
37,38,4.95,108
37,36,4.95,288
37,48,3.3,198
38,8,3.3,18
38,9,3.3,198
38,37,4.95,288
39,11,4.95,108
39,12,4.95,288
39,36,4.95,18
40,33,1.65,97
40,41,3.3,198
40,32,1.65,277
41,42,3.3,198
41,40,3.3,18
41,45,2,288
42,17,1.65,198
42,41,3.3,18
43,44,1,18
43,24,4,150
44,43,1,198
44,25,4,97
44,94,4.2,-1
45,41,2,108
45,95,4.2,-1
46,0,2.2,97
46,34,4.4,277
46,96,4.2,-1
47,14,5.78,108
47,15,5.78,288
47,97,4.2,-1
48,37,3.3,18
48,98,4.2,-1
49,6,4.4,18
49,7,2.2,198
49,99,4.2,-1
50,51,4.95,97
50,96,2.2,277
51,52,9.9,97
51,50,4.95,277
52,53,9.9,97
52,51,9.9,277
53,54,9.9,97
53,52,9.9,277
54,55,8.25,97
54,85,2,198
54,53,9.9,277
55,56,3.3,97
55,54,8.25,277
56,99,4.4,198
56,55,3.3,277
57,58,6.6,198
57,99,2.2,18
58,59,6.6,198
58,57,6.6,18
58,88,3.3,198
59,60,4.4,198
59,58,6.6,18
59,88,3.3,18
60,61,3.3,288
60,59,4.4,18
60,10,4.2,-2
61,62,3.3,288
61,60,3.3,108
62,61,3.3,108
62,63,3.3,288
62,89,1,18
63,64,4.95,288
63,62,4.95,108
64,63,4.95,108
64,65,4.95,288
65,64,4.95,108
65,66,4.95,288
66,67,4.95,288
66,65,4.95,108
67,66,9.9,108
67,97,3.3,288
68,97,6.6,108
68,69,3.3,288
69,68,3.3,108
69,70,6.6,288
69,92,2,18
70,69,6.6,108
70,71,6.6,288
71,72,3.3,288
71,70,6.6,108
72,71,3.3,108
72,73,6.6,288
73,72,6.6,108
73,93,3,330
74,94,3.3,277
74,75,3.3,97
75,76,6.6,97
75,74,3.3,277
76,75,6.6,277
76,77,3.3,97
77,78,6.6,97
77,76,3.3,277
78,79,3.3,97
78,77,6.6,277
79,80,3.3,97
79,78,3.3,277
80,81,3.3,97
80,79,3.3,277
80,90,2,198
81,82,3.3,97
81,80,3.3,277
81,96,3.3,97
85,54,1,18
85,86,13.2,198
86,87,3,108
86,89,6.6,288
87,86,3,288
87,88,3,108
87,98,1,288
88,87,3,288
88,58,3.3,18
88,59,3.3,198
89,62,1,198
89,86,6.6,18
90,80,2,18
90,91,2,198
91,95,1,288
91,92,2,198
92,69,2,198
92,91,2,18
93,94,1,18
93,73,3,150
94,93,1,198
94,44,4.2,-2
94,74,3.3,97
95,91,1,108
95,45,4.2,-2
96,46,4.2,-2
96,50,3.3,97
96,81,3.3,277
97,67,3.3,108
97,68,3.3,288
97,47,4.2,-2
98,87,1,18
98,48,4.2,-2
99,56,6.6,18
99,57,6.6,198
99,49,4.2,-2
